League,Season,Team,Location,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
Ligue_1,2021,Brest,away,19,6,5,8,21,28,23,19.81,32.91,18.76
Ligue_1,2021,Clermont Foot,home,19,4,6,9,22,33,18,21.6,27.12,22.19
Ligue_1,2021,Clermont Foot,away,19,5,3,11,16,36,18,20.47,28.73,21.18
Ligue_1,2022,Lille,home,19,13,4,2,40,25,43,38.98,20.07,39.29
Ligue_1,2022,Lille,away,19,6,6,7,25,19,24,35.26,21.93,35.81
Ligue_1,2022,Paris Saint Germain,home,19,13,2,4,45,25,41,38.15,25.36,34.58
Ligue_1,2022,Paris Saint Germain,away,19,14,2,3,44,15,44,48.0,21.75,39.43
Ligue_1,2022,Rennes,home,19,15,0,4,43,14,45,36.06,16.44,38.22
Ligue_1,2022,Rennes,away,19,6,5,8,26,25,23,28.18,26.7,27.1
Ligue_1,2022,Marseille,home,19,10,4,5,35,24,34,42.06,21.25,39.32
Ligue_1,2022,Marseille,away,19,12,3,4,32,16,39,30.89,24.05,31.65
Ligue_1,2022,Montpellier,home,19,7,3,9,29,29,24,28.61,31.6,24.58
Ligue_1,2022,Montpellier,away,19,8,2,9,36,33,26,23.94,35.65,20.84
Ligue_1,2022,Angers,home,19,3,3,13,20,36,12,23.53,32.09,19.71
Ligue_1,2022,Angers,away,19,1,3,15,13,45,6,17.52,33.98,14.32
Ligue_1,2022,Nantes,home,19,5,8,6,20,26,23,27.76,28.23,26.36
Ligue_1,2022,Nantes,away,19,2,7,10,17,29,13,16.87,30.18,18.22
Ligue_1,2022,Nice,home,19,7,7,5,24,18,28,29.54,22.47,30.15
Ligue_1,2022,Nice,away,19,8,6,5,24,19,30,29.68,21.69,31.13
Ligue_1,2022,Monaco,home,19,9,3,7,37,33,30,35.67,31.04,27.69
Ligue_1,2022,Monaco,away,19,10,5,4,33,25,35,29.69,25.1,30.75
Ligue_1,2022,Troyes,home,19,1,11,7,19,30,14,15.67,38.99,11.8
Ligue_1,2022,Troyes,away,19,3,1,15,26,51,10,21.04,44.8,13.7
Ligue_1,2022,Toulouse,home,19,6,6,7,27,27,24,31.95,27.67,31.04
Ligue_1,2022,Toulouse,away,19,7,3,9,24,30,24,27.81,31.66,24.36
Ligue_1,2022,Reims,home,19,8,6,5,28,23,30,36.34,21.87,34.86
Ligue_1,2022,Reims,away,19,4,9,6,17,22,21,23.18,33.09,20.49
Ligue_1,2022,Lyon,home,19,10,5,4,35,19,35,38.35,22.31,35.95
Ligue_1,2022,Lyon,away,19,8,3,8,30,28,27,31.43,28.43,28.27
Ligue_1,2022,Lorient,home,19,9,4,6,26,21,31,23.65,25.13,24.23
Ligue_1,2022,Lorient,away,19,6,6,7,26,32,24,23.69,35.84,18.2
Ligue_1,2022,Lens,home,19,17,1,1,41,13,52,37.42,17.92,38.96
Ligue_1,2022,Lens,away,19,8,8,3,27,16,32,32.5,26.63,30.45
Ligue_1,2022,Strasbourg,home,19,5,7,7,25,26,22,26.79,24.67,28.22
Ligue_1,2022,Strasbourg,away,19,4,6,9,26,33,18,26.0,31.26,23.97
Ligue_1,2022,Brest,home,19,7,5,7,24,26,26,22.25,26.76,24.08
Ligue_1,2022,Brest,away,19,4,6,9,20,28,18,19.16,31.33,19.44
Ligue_1,2022,Clermont Foot,home,19,9,3,7,20,28,30,26.1,26.98,26.94
Ligue_1,2022,Clermont Foot,away,19,8,5,6,25,21,29,23.55,32.46,20.83
Ligue_1,2022,Ajaccio,home,19,4,3,12,10,30,15,17.74,27.51,16.99
Ligue_1,2022,Ajaccio,away,19,3,2,14,13,44,11,13.32,28.62,16.12
Ligue_1,2022,Auxerre,home,19,5,7,7,18,28,22,23.67,29.91,22.1
Ligue_1,2022,Auxerre,away,19,3,4,12,17,35,13,16.55,35.1,15.62
Ligue_1,2023,Lille,home,17,11,4,2,34,14,37,36.24,17.22,35.26
Ligue_1,2023,Lille,away,17,5,7,5,18,20,22,19.08,23.35,20.05
Ligue_1,2023,Paris Saint Germain,home,17,9,6,2,42,22,33,34.33,15.03,37.06
Ligue_1,2023,Paris Saint Germain,away,17,13,4,0,39,11,43,38.55,30.68,28.13
Ligue_1,2023,Rennes,home,17,7,4,6,34,26,25,34.9,21.49,30.49
Ligue_1,2023,Rennes,away,17,5,6,6,19,20,21,21.11,22.69,21.96
Ligue_1,2023,Marseille,home,17,10,6,1,31,13,36,36.24,14.5,37.24
Ligue_1,2023,Marseille,away,17,3,5,9,21,28,14,23.8,23.12,22.82
Ligue_1,2023,Montpellier,home,17,3,9,5,20,23,18,30.38,23.76,27.51
Ligue_1,2023,Montpellier,away,17,7,3,7,23,25,24,20.24,33.08,17.43
Ligue_1,2023,Nantes,home,17,3,3,11,17,30,12,20.98,32.43,17.54
Ligue_1,2023,Nantes,away,17,6,3,8,13,25,21,18.46,28.03,17.56
Ligue_1,2023,Nice,home,17,9,4,4,21,11,31,29.85,17.08,31.97
Ligue_1,2023,Nice,away,17,6,6,5,19,18,24,24.96,19.41,27.16
Ligue_1,2023,Monaco,home,17,10,3,4,30,14,33,32.03,17.65,33.57
Ligue_1,2023,Monaco,away,17,10,4,3,38,28,34,33.03,28.62,26.29
Ligue_1,2023,Toulouse,home,17,3,7,7,21,25,16,24.02,19.19,26.59
Ligue_1,2023,Toulouse,away,17,8,3,6,21,21,27,20.82,30.07,18.87
Ligue_1,2023,Reims,home,17,8,3,6,19,18,27,24.79,22.6,24.97
Ligue_1,2023,Reims,away,17,5,5,7,23,29,20,23.19,27.34,20.24
Ligue_1,2023,Lyon,home,17,7,4,6,25,29,25,32.54,27.08,28.03
Ligue_1,2023,Lyon,away,17,9,1,7,24,26,28,22.74,27.95,20.0
Ligue_1,2023,Lorient,home,17,4,4,9,26,30,16,23.19,26.96,19.67
Ligue_1,2023,Lorient,away,17,3,4,10,17,36,13,15.77,34.04,12.08
Ligue_1,2023,Metz,home,17,3,3,11,17,27,12,16.57,22.76,18.83
Ligue_1,2023,Metz,away,17,5,2,10,18,31,17,17.8,36.1,13.39
Ligue_1,2023,Lens,home,17,9,4,4,27,18,31,39.21,21.96,32.73
Ligue_1,2023,Lens,away,17,5,5,7,18,19,20,22.87,27.49,21.02
Ligue_1,2023,Strasbourg,home,17,7,3,7,22,23,24,24.5,23.66,23.25
Ligue_1,2023,Strasbourg,away,17,3,6,8,16,27,15,18.2,27.56,17.31
Ligue_1,2023,Brest,home,17,8,7,2,25,14,31,31.06,15.19,33.27
Ligue_1,2023,Brest,away,17,9,3,5,28,20,30,20.89,25.49,19.52
Ligue_1,2023,Clermont Foot,home,17,3,5,9,14,27,14,21.01,28.44,19.37
Ligue_1,2023,Clermont Foot,away,17,2,5,10,12,33,11,14.67,39.71,10.28
Ligue_1,2023,Le Havre,home,17,6,2,9,18,19,20,25.04,23.19,24.95
Ligue_1,2023,Le Havre,away,17,1,9,7,16,26,12,14.01,32.11,12.84
La_liga,2014,Malaga,home,19,8,6,5,26,20,30,28.92,24.2,29.38
La_liga,2014,Malaga,away,19,6,2,11,16,28,20,17.3,29.93,19.13
La_liga,2014,Sevilla,home,19,13,5,1,38,13,44,40.36,16.5,41.37
La_liga,2014,Sevilla,away,19,10,2,7,33,32,32,29.17,31.36,26.01
La_liga,2014,Deportivo La Coruna,home,19,5,6,8,22,30,21,22.65,22.59,25.25
La_liga,2014,Deportivo La Coruna,away,19,2,8,9,13,30,14,15.22,28.39,18.27
La_liga,2014,Real Sociedad,home,19,9,5,5,29,21,32,21.14,20.19,26.61
La_liga,2014,Real Sociedad,away,19,2,8,9,15,30,14,12.34,30.97,12.18
La_liga,2014,Espanyol,home,19,8,6,5,23,19,30,23.37,20.76,28.15
La_liga,2014,Espanyol,away,19,5,4,10,24,32,19,20.61,27.54,22.24
La_liga,2014,Getafe,home,19,6,5,8,16,22,23,19.81,20.57,25.91
La_liga,2014,Getafe,away,19,4,2,13,17,42,14,14.16,33.1,14.2
La_liga,2014,Atletico Madrid,home,19,14,3,2,42,11,45,34.38,10.81,43.08
La_liga,2014,Atletico Madrid,away,19,9,6,4,25,18,33,22.67,18.26,30.06
La_liga,2014,Rayo Vallecano,home,19,8,2,9,26,26,26,27.19,27.07,26.08
La_liga,2014,Rayo Vallecano,away,19,7,2,10,20,42,23,20.6,43.37,17.47
La_liga,2014,Valencia,home,19,15,3,1,42,10,48,31.87,16.92,37.22
La_liga,2014,Valencia,away,19,7,8,4,28,22,29,23.19,22.48,26.49
La_liga,2014,Athletic Club,home,19,8,6,5,28,20,30,26.39,17.14,31.85
La_liga,2014,Athletic Club,away,19,7,4,8,14,21,25,19.15,26.97,21.51
La_liga,2014,Barcelona,home,19,16,1,2,64,11,49,52.62,13.21,48.51
La_liga,2014,Barcelona,away,19,14,3,2,46,10,45,50.36,15.23,45.57
La_liga,2014,Real Madrid,home,19,16,2,1,65,15,50,53.3,16.56,46.47
La_liga,2014,Real Madrid,away,19,14,0,5,53,23,42,42.46,26.05,35.27
La_liga,2014,Levante,home,19,6,6,7,20,30,24,20.9,31.61,21.92
La_liga,2014,Levante,away,19,3,4,12,14,37,13,14.4,28.66,15.69
La_liga,2014,Celta Vigo,home,19,8,5,6,30,22,29,38.1,24.13,33.54
La_liga,2014,Celta Vigo,away,19,5,7,7,17,22,22,20.79,27.64,21.51
La_liga,2014,Villarreal,home,19,12,1,6,29,17,37,31.95,17.39,35.92
La_liga,2014,Villarreal,away,19,4,11,4,19,20,23,24.82,23.31,26.81
La_liga,2014,Granada,home,19,4,10,5,13,17,22,21.41,15.47,30.79
La_liga,2014,Granada,away,19,3,4,12,16,47,13,15.98,38.81,14.94
La_liga,2014,Eibar,home,19,5,3,11,20,29,18,15.87,24.6,20.83
La_liga,2014,Eibar,away,19,4,5,10,14,26,17,13.69,29.12,14.82
La_liga,2014,Cordoba,home,19,1,6,12,12,33,9,18.48,26.59,22.94
La_liga,2014,Cordoba,away,19,2,5,12,10,35,11,11.29,30.75,13.35
La_liga,2014,Elche,home,19,6,3,10,19,31,21,23.35,26.83,24.6
La_liga,2014,Elche,away,19,5,5,9,16,31,20,16.26,31.24,16.07
La_liga,2014,Almeria,home,19,3,7,9,20,28,16,24.42,25.58,25.67
La_liga,2014,Almeria,away,19,5,1,13,15,36,16,14.25,33.29,13.66
La_liga,2015,Malaga,home,19,8,6,5,26,15,30,27.32,20.61,30.66
La_liga,2015,Malaga,away,19,4,6,9,12,20,18,18.43,24.65,22.42
La_liga,2015,Sevilla,home,19,14,1,4,38,21,43,40.07,18.34,40.76
La_liga,2015,Sevilla,away,19,0,9,10,13,29,9,22.9,27.75,22.87
La_liga,2015,Deportivo La Coruna,home,19,4,8,7,25,34,20,27.53,25.7,27.21
La_liga,2015,Deportivo La Coruna,away,19,4,10,5,20,27,22,16.22,26.67,18.87
La_liga,2015,Real Sociedad,home,19,7,5,7,22,20,26,26.33,22.66,27.93
La_liga,2015,Real Sociedad,away,19,6,4,9,23,28,22,21.61,25.38,24.82
La_liga,2015,Espanyol,home,19,9,5,5,22,28,32,26.58,25.37,27.89
La_liga,2015,Espanyol,away,19,3,2,14,18,46,11,19.51,35.47,15.26
La_liga,2015,Getafe,home,19,6,7,6,23,20,25,24.35,23.18,26.72
La_liga,2015,Getafe,away,19,3,2,14,14,47,11,17.42,40.17,14.16
La_liga,2015,Atletico Madrid,home,19,15,3,1,33,7,48,29.88,12.6,38.84
La_liga,2015,Atletico Madrid,away,19,13,1,5,30,11,40,25.05,15.2,33.44
La_liga,2015,Las Palmas,home,19,8,5,6,25,17,29,20.28,21.18,25.74
La_liga,2015,Las Palmas,away,19,4,3,12,20,36,15,18.4,38.05,15.44
La_liga,2015,Rayo Vallecano,home,19,8,4,7,29,29,28,29.61,30.11,26.11
La_liga,2015,Rayo Vallecano,away,19,1,7,11,23,44,10,22.65,34.98,19.67
La_liga,2015,Valencia,home,19,6,7,6,25,23,25,30.36,26.34,29.29
La_liga,2015,Valencia,away,19,5,4,10,21,25,19,20.15,35.35,17.43
La_liga,2015,Athletic Club,home,19,11,4,4,35,17,37,27.62,19.06,31.53
La_liga,2015,Athletic Club,away,19,7,4,8,23,28,25,26.28,26.27,26.7
La_liga,2015,Barcelona,home,19,16,1,2,67,14,49,63.44,17.2,46.93
La_liga,2015,Barcelona,away,19,13,3,3,45,15,42,50.16,16.83,47.45
La_liga,2015,Sporting Gijon,home,19,7,4,8,28,28,25,30.01,25.66,27.29
La_liga,2015,Sporting Gijon,away,19,3,5,11,12,34,14,12.56,34.96,13.32
La_liga,2015,Real Madrid,home,19,16,1,2,70,16,49,52.16,22.56,42.97
La_liga,2015,Real Madrid,away,19,12,5,2,40,18,41,38.29,22.68,36.12
La_liga,2015,Levante,home,19,7,5,7,23,26,26,20.38,23.39,23.98
La_liga,2015,Levante,away,19,1,3,15,14,44,6,18.84,40.16,13.34
La_liga,2015,Celta Vigo,home,19,9,6,4,29,25,33,28.83,20.45,31.76
La_liga,2015,Celta Vigo,away,19,8,3,8,22,34,27,21.38,31.53,21.32
La_liga,2015,Real Betis,home,19,6,6,7,17,23,24,22.29,26.52,24.86
La_liga,2015,Real Betis,away,19,5,6,8,17,29,21,17.82,37.87,15.62
La_liga,2015,Villarreal,home,19,12,4,3,26,12,40,23.15,18.15,30.29
La_liga,2015,Villarreal,away,19,6,6,7,18,23,24,17.34,23.48,21.82
La_liga,2015,Granada,home,19,6,5,8,26,31,23,22.3,30.33,20.76
La_liga,2015,Granada,away,19,4,4,11,20,38,16,19.06,32.05,17.73
La_liga,2015,Eibar,home,19,8,5,6,26,22,29,28.36,19.2,31.61
La_liga,2015,Eibar,away,19,3,5,11,23,39,14,24.55,31.38,22.41
La_liga,2016,Malaga,home,19,10,2,7,32,25,32,27.92,23.72,28.9
La_liga,2016,Malaga,away,19,2,8,9,17,30,14,12.45,23.63,16.85
La_liga,2016,Sevilla,home,19,14,4,1,39,16,46,35.13,16.17,38.54
La_liga,2016,Sevilla,away,19,7,5,7,30,33,26,23.97,22.54,27.64
La_liga,2016,Deportivo La Coruna,home,19,7,5,7,27,23,26,24.19,18.77,32.97
La_liga,2016,Deportivo La Coruna,away,19,1,7,11,16,38,10,16.81,29.84,18.19
La_liga,2016,Real Sociedad,home,19,10,5,4,30,24,35,27.02,17.88,33.56
La_liga,2016,Real Sociedad,away,19,9,2,8,29,29,29,18.57,25.83,21.37
La_liga,2016,Espanyol,home,19,8,5,6,28,24,29,18.84,14.97,28.4
La_liga,2016,Espanyol,away,19,7,6,6,21,26,27,13.71,23.38,18.53
La_liga,2016,Atletico Madrid,home,19,14,2,3,40,14,44,38.04,12.56,41.85
La_liga,2016,Atletico Madrid,away,19,9,7,3,30,13,34,22.62,18.77,27.26
La_liga,2016,Las Palmas,home,19,9,6,4,33,25,33,25.56,21.17,29.36
La_liga,2016,Las Palmas,away,19,1,3,15,20,49,6,15.23,37.23,12.75
La_liga,2016,Valencia,home,19,8,4,7,32,32,28,28.63,23.11,30.69
La_liga,2016,Valencia,away,19,5,3,11,24,33,18,21.71,27.85,22.7
La_liga,2016,Athletic Club,home,19,13,4,2,36,18,43,32.76,17.41,37.98
La_liga,2016,Athletic Club,away,19,6,2,11,17,25,20,18.32,23.04,22.56
La_liga,2016,Barcelona,home,19,15,3,1,64,17,48,53.45,12.47,48.35
La_liga,2016,Barcelona,away,19,13,3,3,52,20,42,40.1,18.84,39.61
La_liga,2016,Sporting Gijon,home,19,5,4,10,26,38,19,21.27,32.08,20.07
La_liga,2016,Sporting Gijon,away,19,2,6,11,16,34,12,15.09,32.35,13.79
La_liga,2016,Real Madrid,home,19,14,4,1,48,20,46,41.79,16.48,42.77
La_liga,2016,Real Madrid,away,19,15,2,2,58,21,47,49.08,20.39,43.4
La_liga,2016,Celta Vigo,home,19,9,2,8,30,32,29,20.97,25.06,24.44
La_liga,2016,Celta Vigo,away,19,4,4,11,23,37,16,19.51,30.92,18.19
La_liga,2016,Real Betis,home,19,6,7,6,22,24,25,19.48,20.23,26.57
La_liga,2016,Real Betis,away,19,4,2,13,19,40,14,16.23,28.04,18.0
La_liga,2016,Villarreal,home,19,11,4,4,35,18,37,30.01,18.5,35.29
La_liga,2016,Villarreal,away,19,8,6,5,21,15,30,22.22,24.66,24.28
La_liga,2016,Granada,home,19,4,4,11,17,32,16,18.47,28.89,20.04
La_liga,2016,Granada,away,19,0,4,15,13,50,4,11.22,45.14,6.46
La_liga,2016,Eibar,home,19,10,3,6,29,21,33,24.54,18.4,29.25
La_liga,2016,Eibar,away,19,5,6,8,27,30,21,18.44,26.77,20.8
La_liga,2016,Osasuna,home,19,2,7,10,23,39,13,19.35,29.06,18.79
La_liga,2016,Osasuna,away,19,2,3,14,17,55,9,13.78,35.77,12.85
La_liga,2016,Alaves,home,19,7,8,4,19,21,29,22.92,17.28,31.16
La_liga,2016,Alaves,away,19,7,5,7,22,22,26,19.68,26.69,21.63
La_liga,2016,Leganes,home,19,5,6,8,22,23,21,20.32,17.39,27.42
La_liga,2016,Leganes,away,19,3,5,11,14,32,14,12.87,28.99,13.53
La_liga,2017,Malaga,home,19,4,3,12,14,27,15,21.45,25.15,23.21
La_liga,2017,Malaga,away,19,1,2,16,10,34,5,14.42,35.09,12.62
La_liga,2017,Sevilla,home,19,11,5,3,31,22,38,38.47,23.06,37.26
La_liga,2017,Sevilla,away,19,6,2,11,18,36,20,23.02,30.97,21.35
La_liga,2017,Deportivo La Coruna,home,19,4,6,9,22,33,18,31.49,24.52,32.1
La_liga,2017,Deportivo La Coruna,away,19,2,5,12,16,43,11,18.29,36.36,17.06
La_liga,2017,Real Sociedad,home,19,10,3,6,47,29,33,34.99,20.38,35.67
La_liga,2017,Real Sociedad,away,19,4,4,11,19,30,16,21.36,30.75,20.17
La_liga,2017,Espanyol,home,19,8,6,5,20,16,30,26.49,20.17,29.4
La_liga,2017,Espanyol,away,19,4,7,8,16,26,19,15.09,33.2,15.28
La_liga,2017,Getafe,home,19,9,4,6,26,13,31,33.23,17.52,37.2
La_liga,2017,Getafe,away,19,6,6,7,16,20,24,15.8,22.13,20.33
La_liga,2017,Atletico Madrid,home,19,12,6,1,30,8,42,27.58,15.64,34.52
La_liga,2017,Atletico Madrid,away,19,11,4,4,28,14,37,22.71,19.84,27.08
La_liga,2017,Las Palmas,home,19,4,2,13,15,38,14,23.57,32.89,19.89
La_liga,2017,Las Palmas,away,19,1,5,13,9,36,8,14.3,41.54,11.16
La_liga,2017,Valencia,home,19,13,3,3,36,16,42,35.58,21.24,35.26
La_liga,2017,Valencia,away,19,9,4,6,29,22,31,22.18,26.65,22.98
La_liga,2017,Athletic Club,home,19,6,8,5,19,16,26,24.84,19.56,30.25
La_liga,2017,Athletic Club,away,19,4,5,10,22,33,17,26.94,31.15,23.88
La_liga,2017,Barcelona,home,19,16,3,0,53,11,51,51.07,15.73,44.99
La_liga,2017,Barcelona,away,19,12,6,1,46,18,42,39.42,25.89,34.44
La_liga,2017,Real Madrid,home,19,12,4,3,54,20,40,52.3,19.56,45.1
La_liga,2017,Real Madrid,away,19,10,6,3,40,24,36,38.99,25.54,34.89
La_liga,2017,Levante,home,19,7,6,6,25,28,27,28.06,25.5,28.62
La_liga,2017,Levante,away,19,4,7,8,19,30,19,16.14,39.61,13.2
La_liga,2017,Celta Vigo,home,19,8,8,3,34,23,32,35.56,22.45,33.97
La_liga,2017,Celta Vigo,away,19,5,2,12,25,37,17,19.03,35.23,14.85
La_liga,2017,Real Betis,home,19,10,4,5,35,31,34,26.33,20.63,30.23
La_liga,2017,Real Betis,away,19,8,2,9,25,30,26,20.39,29.13,20.28
La_liga,2017,Villarreal,home,19,11,3,5,35,22,36,33.65,24.0,34.21
La_liga,2017,Villarreal,away,19,7,4,8,22,28,25,22.02,30.23,20.75
La_liga,2017,Eibar,home,19,8,4,7,26,19,28,22.35,18.11,29.08
La_liga,2017,Eibar,away,19,6,5,8,18,31,23,19.08,27.42,21.7
La_liga,2017,Alaves,home,19,9,1,9,21,23,28,20.76,23.83,22.86
La_liga,2017,Alaves,away,19,6,1,12,19,27,19,17.12,34.37,16.17
La_liga,2017,Leganes,home,19,9,4,6,19,19,31,20.32,19.15,27.1
La_liga,2017,Leganes,away,19,3,3,13,15,32,12,18.94,29.62,17.48
La_liga,2017,Girona,home,19,8,3,8,26,22,27,29.11,19.12,31.82
La_liga,2017,Girona,away,19,6,6,7,24,37,24,22.99,32.48,21.2
La_liga,2018,Sevilla,home,19,12,3,4,39,20,39,40.57,19.06,38.57
La_liga,2018,Sevilla,away,19,5,5,9,23,27,20,28.6,27.65,26.51
La_liga,2018,Real Sociedad,home,19,7,6,6,23,20,27,28.38,21.43,30.49
La_liga,2018,Real Sociedad,away,19,6,5,8,22,26,23,19.6,26.67,20.64
La_liga,2018,Espanyol,home,19,11,3,5,28,22,36,28.19,25.68,28.78
La_liga,2018,Espanyol,away,19,3,8,8,20,28,17,21.97,28.93,21.3
La_liga,2018,Getafe,home,19,11,3,5,28,13,36,28.79,19.05,32.48
La_liga,2018,Getafe,away,19,4,11,4,20,22,23,18.24,25.18,20.71
La_liga,2018,Atletico Madrid,home,19,15,3,1,32,10,48,28.29,17.13,34.67
La_liga,2018,Atletico Madrid,away,19,7,7,5,23,19,28,23.58,24.3,24.76
La_liga,2018,Rayo Vallecano,home,19,5,6,8,25,32,21,28.92,24.51,29.21
La_liga,2018,Rayo Vallecano,away,19,3,2,14,16,38,11,18.32,37.81,13.81
La_liga,2018,Valencia,home,19,7,10,2,24,12,31,32.69,15.05,38.35
La_liga,2018,Valencia,away,19,8,6,5,27,23,30,29.2,27.81,26.81
La_liga,2018,Athletic Club,home,19,9,8,2,26,19,35,26.13,19.92,31.29
La_liga,2018,Athletic Club,away,19,4,6,9,15,26,18,18.31,27.24,18.72
La_liga,2018,Barcelona,home,19,15,3,1,51,17,48,49.61,22.35,41.91
La_liga,2018,Barcelona,away,19,11,6,2,39,19,39,33.66,22.58,32.05
La_liga,2018,Real Madrid,home,19,13,1,5,32,15,40,37.48,19.9,37.52
La_liga,2018,Real Madrid,away,19,8,4,7,31,31,28,31.18,28.77,27.25
La_liga,2018,Levante,home,19,6,7,6,34,34,25,31.99,35.44,25.55
La_liga,2018,Levante,away,19,5,4,10,25,32,19,22.1,43.43,14.69
La_liga,2018,Celta Vigo,home,19,8,5,6,31,25,29,26.7,25.91,26.44
La_liga,2018,Celta Vigo,away,19,2,6,11,22,37,12,22.0,37.52,15.19
La_liga,2018,Real Betis,home,19,8,5,6,25,26,29,29.88,26.42,29.34
La_liga,2018,Real Betis,away,19,6,3,10,19,26,21,21.8,27.12,23.05
La_liga,2018,Villarreal,home,19,5,8,6,28,26,23,31.02,22.13,32.19
La_liga,2018,Villarreal,away,19,5,6,8,21,26,21,23.78,33.99,19.99
La_liga,2018,Eibar,home,19,9,6,4,31,21,33,34.13,24.15,32.51
La_liga,2018,Eibar,away,19,2,8,9,15,29,14,22.51,23.74,24.24
La_liga,2018,Alaves,home,19,7,8,4,19,19,29,23.35,23.25,26.25
La_liga,2018,Alaves,away,19,6,3,10,20,31,21,17.52,31.28,17.77
La_liga,2018,Leganes,home,19,7,8,4,19,16,29,22.82,16.31,31.93
La_liga,2018,Leganes,away,19,4,4,11,18,27,16,18.43,27.63,19.21
La_liga,2018,Girona,home,19,3,6,10,17,28,15,22.45,24.41,26.27
La_liga,2018,Girona,away,19,6,4,9,20,25,22,20.54,30.93,18.9
La_liga,2018,Real Valladolid,home,19,5,5,9,16,26,20,22.44,23.57,24.66
La_liga,2018,Real Valladolid,away,19,5,6,8,16,25,21,19.21,34.08,17.14
La_liga,2018,SD Huesca,home,19,5,6,8,24,30,21,30.58,25.7,28.97
La_liga,2018,SD Huesca,away,19,2,6,11,19,35,12,20.8,37.73,15.99
La_liga,2019,Sevilla,home,19,10,7,2,26,14,37,28.62,16.39,35.51
La_liga,2019,Sevilla,away,19,9,6,4,28,20,33,26.54,20.22,30.2
La_liga,2019,Real Sociedad,home,19,9,4,6,33,20,31,31.53,15.2,36.58
La_liga,2019,Real Sociedad,away,19,7,4,8,23,28,25,19.39,26.69,20.6
La_liga,2019,Espanyol,home,19,2,6,11,15,31,12,19.29,27.88,20.52
La_liga,2019,Espanyol,away,19,3,4,12,12,27,13,17.71,25.39,21.24
La_liga,2019,Getafe,home,19,8,6,5,25,20,30,25.74,19.46,30.49
La_liga,2019,Getafe,away,19,6,6,7,18,17,24,19.45,23.56,23.3
La_liga,2019,Atletico Madrid,home,19,12,6,1,28,11,42,32.33,12.9,40.31
La_liga,2019,Atletico Madrid,away,19,6,10,3,23,16,28,26.37,18.62,32.04
La_liga,2019,Valencia,home,19,11,7,1,29,16,40,28.22,24.19,29.82
La_liga,2019,Valencia,away,19,3,4,12,17,37,13,17.35,34.88,15.61
La_liga,2019,Athletic Club,home,19,9,4,6,21,14,31,26.01,22.22,28.62
La_liga,2019,Athletic Club,away,19,4,8,7,20,24,20,16.09,30.2,16.04
La_liga,2019,Barcelona,home,19,16,2,1,52,16,50,41.01,17.23,40.41
La_liga,2019,Barcelona,away,19,9,5,5,34,22,32,30.99,20.59,32.72
La_liga,2019,Real Madrid,home,19,15,4,0,40,11,49,41.32,15.03,42.85
La_liga,2019,Real Madrid,away,19,11,5,3,30,14,38,30.84,18.11,34.84
La_liga,2019,Levante,home,19,9,5,5,27,19,32,27.94,28.07,25.86
La_liga,2019,Levante,away,19,5,2,12,20,34,17,21.49,36.18,17.02
La_liga,2019,Celta Vigo,home,19,5,8,6,22,20,23,23.27,18.14,28.16
La_liga,2019,Celta Vigo,away,19,2,8,9,15,29,14,17.17,26.69,19.09
La_liga,2019,Real Betis,home,19,9,4,6,34,27,31,31.12,24.94,30.54
La_liga,2019,Real Betis,away,19,1,7,11,14,33,10,17.78,31.36,17.39
La_liga,2019,Villarreal,home,19,9,5,5,37,25,32,34.72,24.68,32.36
La_liga,2019,Villarreal,away,19,9,1,9,26,24,28,30.89,23.91,31.7
La_liga,2019,Granada,home,19,10,3,6,26,16,33,25.49,18.27,31.33
La_liga,2019,Granada,away,19,6,5,8,26,29,23,19.54,25.17,21.27
La_liga,2019,Eibar,home,19,8,3,8,25,25,27,26.81,24.34,26.83
La_liga,2019,Eibar,away,19,3,6,10,14,31,15,15.53,29.99,16.08
La_liga,2019,Osasuna,home,19,7,7,5,26,29,28,29.91,22.73,31.25
La_liga,2019,Osasuna,away,19,6,6,7,20,25,24,19.13,26.85,20.26
La_liga,2019,Alaves,home,19,7,6,6,20,19,27,20.85,20.09,27.29
La_liga,2019,Alaves,away,19,3,3,13,14,40,12,17.3,37.84,13.69
La_liga,2019,Leganes,home,19,5,5,9,17,26,20,20.12,18.48,27.39
La_liga,2019,Leganes,away,19,3,7,9,13,25,16,18.8,27.15,21.53
La_liga,2019,Real Valladolid,home,19,5,10,4,18,15,25,19.38,19.67,25.58
La_liga,2019,Real Valladolid,away,19,4,5,10,14,28,17,16.27,34.27,13.81
La_liga,2019,Mallorca,home,19,8,3,8,25,22,27,23.94,25.22,24.8
La_liga,2019,Mallorca,away,19,1,3,15,15,43,6,16.51,39.95,10.55
La_liga,2020,Sevilla,home,19,14,1,4,27,11,43,28.32,16.04,34.72
La_liga,2020,Sevilla,away,19,10,4,5,26,22,34,27.54,18.3,32.24
La_liga,2020,Real Sociedad,home,19,9,6,4,34,21,33,35.99,18.2,35.93
La_liga,2020,Real Sociedad,away,19,8,5,6,25,17,29,27.15,20.6,31.67
La_liga,2020,Getafe,home,19,6,6,7,15,13,24,18.22,15.64,26.91
La_liga,2020,Getafe,away,19,3,5,11,13,30,14,17.4,24.76,21.48
La_liga,2020,Atletico Madrid,home,19,15,3,1,41,11,48,33.12,17.37,35.83
La_liga,2020,Atletico Madrid,away,19,11,5,3,26,14,38,24.54,18.3,30.58
