League,Season,Team,Location,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
Ligue_1,2015,Monaco,away,19,7,8,4,27,31,29,27.33,29.45,25.14
Ligue_1,2015,Troyes,home,19,1,7,11,13,36,10,20.58,35.26,16.66
Ligue_1,2015,Troyes,away,19,2,2,15,15,47,8,16.01,38.02,12.19
Ligue_1,2015,GFC Ajaccio,home,19,5,7,7,23,32,22,20.42,21.42,25.32
Ligue_1,2015,GFC Ajaccio,away,19,3,6,10,14,26,15,12.1,23.83,16.64
Ligue_1,2015,Toulouse,home,19,6,7,6,29,21,25,27.62,14.72,34.78
Ligue_1,2015,Toulouse,away,19,3,6,10,16,34,15,22.71,25.09,24.38
Ligue_1,2015,Saint-Etienne,home,19,10,4,5,25,15,34,27.25,19.73,31.56
Ligue_1,2015,Saint-Etienne,away,19,7,3,9,17,22,24,18.21,24.93,22.06
Ligue_1,2015,Bordeaux,home,19,8,7,4,27,20,31,24.84,19.53,30.41
Ligue_1,2015,Bordeaux,away,19,4,7,8,23,37,19,21.52,29.13,21.07
Ligue_1,2015,Reims,home,19,7,5,7,28,23,26,26.08,18.88,31.53
Ligue_1,2015,Reims,away,19,3,4,12,16,34,13,16.79,34.03,14.59
Ligue_1,2015,Lyon,home,19,12,4,3,42,16,40,38.06,15.29,41.37
Ligue_1,2015,Lyon,away,19,7,4,8,25,27,25,24.95,22.72,27.32
Ligue_1,2015,Lorient,home,19,7,7,5,26,21,28,23.53,22.7,26.1
Ligue_1,2015,Lorient,away,19,4,6,9,21,37,18,18.78,29.61,19.65
Ligue_1,2016,Lille,home,19,7,3,9,24,24,24,26.45,20.77,29.48
Ligue_1,2016,Lille,away,19,6,4,9,16,23,22,17.63,28.01,17.76
Ligue_1,2016,Paris Saint Germain,home,19,13,6,0,42,7,45,46.29,10.29,48.41
Ligue_1,2016,Paris Saint Germain,away,19,14,0,5,41,20,42,35.87,13.96,38.81
Ligue_1,2016,SC Bastia,home,19,5,9,5,17,17,24,18.29,18.27,25.56
Ligue_1,2016,SC Bastia,away,19,3,1,15,12,40,10,13.97,39.74,11.28
Ligue_1,2016,Rennes,home,19,10,6,3,26,15,36,24.24,19.48,29.71
Ligue_1,2016,Rennes,away,19,2,8,9,10,27,14,17.56,24.06,21.23
Ligue_1,2016,Marseille,home,19,13,4,2,33,13,43,29.86,17.66,35.6
Ligue_1,2016,Marseille,away,19,4,7,8,24,28,19,23.97,29.66,21.24
Ligue_1,2016,Caen,home,19,7,2,10,21,37,23,25.26,27.55,25.7
Ligue_1,2016,Caen,away,19,3,5,11,15,28,14,20.02,28.92,19.79
Ligue_1,2016,Montpellier,home,19,8,5,6,28,22,29,24.68,21.44,28.19
Ligue_1,2016,Montpellier,away,19,2,4,13,20,44,10,19.52,30.59,18.84
Ligue_1,2016,Angers,home,19,8,5,6,23,17,29,28.02,15.88,34.17
Ligue_1,2016,Angers,away,19,5,2,12,17,32,17,18.17,25.14,20.52
Ligue_1,2016,Nantes,home,19,8,4,7,19,24,28,23.3,17.74,31.03
Ligue_1,2016,Nantes,away,19,6,5,8,21,30,23,19.69,26.88,21.79
Ligue_1,2016,Guingamp,home,19,12,3,4,28,13,39,28.69,17.97,33.42
Ligue_1,2016,Guingamp,away,19,2,5,12,18,40,11,18.45,34.34,15.07
Ligue_1,2016,Nice,home,19,14,4,1,39,16,46,29.77,22.0,32.15
Ligue_1,2016,Nice,away,19,8,8,3,24,20,32,21.76,28.89,21.32
Ligue_1,2016,Monaco,home,19,17,1,1,63,13,52,42.83,16.48,42.61
Ligue_1,2016,Monaco,away,19,13,4,2,44,18,43,33.21,18.42,35.45
Ligue_1,2016,Toulouse,home,19,8,6,5,28,18,30,23.61,20.67,28.54
Ligue_1,2016,Toulouse,away,19,2,8,9,9,23,14,17.58,22.31,22.07
Ligue_1,2016,Saint-Etienne,home,19,7,9,3,24,18,30,24.25,22.9,29.37
Ligue_1,2016,Saint-Etienne,away,19,5,5,9,17,24,20,18.66,27.37,19.81
Ligue_1,2016,Bordeaux,home,19,9,6,4,27,19,33,29.06,21.36,31.72
Ligue_1,2016,Bordeaux,away,19,6,8,5,26,24,26,22.97,22.75,26.43
Ligue_1,2016,Lyon,home,19,12,1,6,46,26,37,38.65,19.59,36.0
Ligue_1,2016,Lyon,away,19,9,3,7,34,22,30,32.48,21.44,33.07
Ligue_1,2016,Lorient,home,19,7,4,8,25,29,25,25.96,23.48,27.88
Ligue_1,2016,Lorient,away,19,3,2,14,19,41,11,18.5,28.39,18.93
Ligue_1,2016,Metz,home,19,7,7,5,27,34,28,19.55,28.75,21.45
Ligue_1,2016,Metz,away,19,4,3,12,12,38,15,15.21,34.93,14.55
Ligue_1,2016,Dijon,home,19,7,6,6,27,21,27,22.86,27.09,23.43
Ligue_1,2016,Dijon,away,19,1,7,11,19,37,10,15.73,35.57,13.3
Ligue_1,2016,Nancy,home,19,7,3,9,21,23,24,21.25,22.92,25.41
Ligue_1,2016,Nancy,away,19,2,5,12,8,29,11,11.33,31.53,14.04
Ligue_1,2017,Lille,home,19,6,6,7,24,27,24,19.58,25.3,21.21
Ligue_1,2017,Lille,away,19,4,2,13,17,40,14,16.55,34.07,14.05
Ligue_1,2017,Paris Saint Germain,home,19,17,1,1,70,15,52,49.02,17.03,43.05
Ligue_1,2017,Paris Saint Germain,away,19,12,5,2,38,14,41,40.91,15.06,41.56
Ligue_1,2017,Rennes,home,19,8,4,7,21,22,28,25.85,20.62,30.71
Ligue_1,2017,Rennes,away,19,8,6,5,29,22,30,21.12,28.52,22.25
Ligue_1,2017,Marseille,home,19,12,5,2,44,19,41,45.54,14.01,44.42
Ligue_1,2017,Marseille,away,19,10,6,3,36,28,36,36.66,27.16,32.8
Ligue_1,2017,Caen,home,19,7,5,7,17,19,26,23.7,22.03,27.1
Ligue_1,2017,Caen,away,19,3,3,13,10,33,12,17.47,25.8,20.94
Ligue_1,2017,Montpellier,home,19,5,9,5,20,19,24,22.21,17.57,28.11
Ligue_1,2017,Montpellier,away,19,6,9,4,16,14,27,17.6,20.36,24.83
Ligue_1,2017,Angers,home,19,5,7,7,23,28,22,24.56,22.82,27.37
Ligue_1,2017,Angers,away,19,4,7,8,19,24,19,21.59,22.38,25.02
Ligue_1,2017,Nantes,home,19,8,4,7,15,17,28,21.97,15.34,31.44
Ligue_1,2017,Nantes,away,19,6,6,7,21,24,24,17.83,20.92,24.51
Ligue_1,2017,Guingamp,home,19,8,7,4,30,24,31,27.76,19.68,31.09
Ligue_1,2017,Guingamp,away,19,4,4,11,18,35,16,14.1,30.83,14.88
Ligue_1,2017,Nice,home,19,10,3,6,29,23,33,28.27,18.41,33.86
Ligue_1,2017,Nice,away,19,5,6,8,24,29,21,19.09,27.49,20.02
Ligue_1,2017,Monaco,home,19,15,3,1,47,17,48,34.93,17.84,37.99
Ligue_1,2017,Monaco,away,19,9,5,5,38,28,32,27.48,27.43,27.15
Ligue_1,2017,Troyes,home,19,7,3,9,17,22,24,20.86,22.29,26.6
Ligue_1,2017,Troyes,away,19,2,3,14,15,37,9,16.27,30.18,16.95
