League,Season,Wilcoxon_PTS,p_value_PTS,Cohen_d_PTS,Wilcoxon_xPTS,p_value_xPTS,Cohen_d_xPTS,Wilcoxon_xG,p_value_xG,Cohen_d_xG
Bundesliga,2014,0.0,7.62939453125e-06,1.5364541238721232,0.0,7.62939453125e-06,1.5876865151147643,1.0,1.52587890625e-05,1.3505810971855219
Bundesliga,2015,33.5,0.02367401123046875,0.6543802744493822,6.0,0.0001068115234375,0.9754727096595994,9.0,0.00025177001953125,0.8549430901735687
Bundesliga,2016,1.5,2.288818359375e-05,1.4669048097221358,0.0,7.62939453125e-06,1.3329743855092404,0.0,7.62939453125e-06,1.0825820334450449
Bundesliga,2017,0.0,7.62939453125e-06,1.2431517055340486,0.0,7.62939453125e-06,1.642906134327024,3.0,3.814697265625e-05,1.115503566041775
Bundesliga,2018,3.5,0.0005430120301150889,0.8249845930323313,0.0,7.62939453125e-06,1.0790067402625214,5.0,7.62939453125e-05,0.8227434253632665
Bundesliga,2019,61.0,0.4623535315033023,0.15242781318255666,33.0,0.02081298828125,0.4723674840636389,36.0,0.030364990234375,0.3304407398774584
Bundesliga,2020,16.0,0.00128936767578125,0.6943906947934415,19.0,0.0023345947265625,0.4866563570193893,34.0,0.02367401123046875,0.476629897911924
EPL,2014,6.5,3.62396240234375e-05,1.0131387848932762,0.0,1.9073486328125e-06,1.6747485185581594,1.0,3.814697265625e-06,1.278779602296587
EPL,2015,7.0,0.00039115464792615023,0.7637615640916684,2.0,5.7220458984375e-06,1.0082193367710537,19.0,0.0005855560302734375,0.7647117307181164
EPL,2016,3.0,9.5367431640625e-06,1.1081836320701277,0.0,1.9073486328125e-06,0.9776419028831288,5.0,1.9073486328125e-05,0.9065809277966852
EPL,2017,1.5,0.00016583319783092414,0.9754451484216276,0.0,1.9073486328125e-06,1.0660136494191177,0.0,1.9073486328125e-06,0.8314307347374614
EPL,2018,10.5,0.0001049041748046875,0.7454075928495741,1.0,3.814697265625e-06,0.8303315712446913,1.0,3.814697265625e-06,0.8248640877345386
EPL,2019,11.0,0.0001049041748046875,0.9120741602283167,18.0,0.0004825592041015625,0.6730733844505643,25.0,0.001689910888671875,0.5105410536803013
EPL,2020,84.0,0.4523754119873047,-0.15242929340195793,69.0,0.1893482208251953,0.31566581403556926,50.0,0.039989471435546875,0.35906857259208413
La_liga,2014,3.0,0.00021209589919181417,0.7555213399109955,0.0,1.9073486328125e-06,1.2297238119583211,0.0,1.9073486328125e-06,0.7926634048638344
La_liga,2015,1.0,3.814697265625e-06,1.2149493407239975,1.0,3.814697265625e-06,1.1476991894775168,0.0,1.9073486328125e-06,0.8171066105124614
La_liga,2016,1.0,3.814697265625e-06,0.9996860567829375,1.0,3.814697265625e-06,1.272577519090756,10.0,8.20159912109375e-05,0.8372318886415295
La_liga,2017,0.0,1.9073486328125e-06,1.0481479931131592,0.0,1.9073486328125e-06,1.8857651504128958,2.0,5.7220458984375e-06,1.2090871739660198
La_liga,2018,7.5,4.76837158203125e-05,1.2841449880362594,0.0,1.9073486328125e-06,2.2176503128434137,0.0,1.9073486328125e-06,1.3775544115674956
La_liga,2019,1.0,3.814697265625e-06,1.2756403821808946,2.0,5.7220458984375e-06,1.478146849053169,0.0,1.9073486328125e-06,1.2576209919723718
La_liga,2020,13.0,0.0009377133543585996,0.7302793797936725,0.0,1.9073486328125e-06,0.7982106294824082,20.0,0.0007076263427734375,0.6075003413162277
Ligue_1,2014,3.0,0.00021146864581802016,1.32606309017015,0.0,1.9073486328125e-06,1.485471189954758,0.0,1.9073486328125e-06,1.0933895369834934
Ligue_1,2015,12.0,0.0008172568722003519,0.8999999999999999,0.0,1.9073486328125e-06,1.549628084851718,1.0,3.814697265625e-06,1.0958127536065694
Ligue_1,2016,0.0,1.9073486328125e-06,1.4064593083458512,0.0,1.9073486328125e-06,1.4610052357726604,0.0,1.9073486328125e-06,1.051300786594548
Ligue_1,2017,3.5,0.00022857268044365608,1.0068479449776326,0.0,1.9073486328125e-06,1.2708014184473029,1.0,3.814697265625e-06,0.8921152855482958
Ligue_1,2018,0.0,0.0001308020996998329,1.0576383976910306,0.0,1.9073486328125e-06,1.3216691802684775,10.0,8.20159912109375e-05,0.83526218961488
Ligue_1,2019,4.0,0.00024769072442556897,1.2983331373189395,7.0,3.62396240234375e-05,1.2966074837862378,11.0,0.0001049041748046875,0.8429208765324725
Ligue_1,2020,86.0,0.49800872802734375,-0.016692058940231395,24.0,0.0014324188232421875,0.42286780676280245,46.0,0.026641845703125,0.44177072076896357
RFPL,2014,14.0,0.00335693359375,0.8746518199327642,0.0,3.0517578125e-05,1.2575805917976166,1.0,6.103515625e-05,1.13611272412986
RFPL,2015,12.5,0.011826913156292663,0.5774210210413716,0.0,3.0517578125e-05,0.9980736778911936,9.0,0.001007080078125,0.7703789351979502
RFPL,2016,4.0,0.0014503399786305825,1.1238249657095718,0.0,3.0517578125e-05,1.2345897195655757,3.0,0.000152587890625,0.9544979976265412
RFPL,2017,19.0,0.019629646222357473,0.6531995872337311,0.0,3.0517578125e-05,1.335884870308277,1.0,6.103515625e-05,1.055477865447889
RFPL,2018,3.0,0.000152587890625,1.0040106248023974,0.0,3.0517578125e-05,1.3880668523125506,0.0,3.0517578125e-05,1.054604064906174
RFPL,2019,56.5,0.8421151871953576,-0.029443619762014206,5.0,0.00030517578125,0.9048182243598082,14.0,0.00335693359375,0.7382437862710927
RFPL,2020,9.5,0.004052993566014096,0.963940758686837,1.0,6.103515625e-05,0.9042232061222798,0.0,3.0517578125e-05,0.7688661460770884
Serie_A,2014,6.5,3.62396240234375e-05,0.8377955512866612,0.0,1.9073486328125e-06,1.36430520532809,1.0,3.814697265625e-06,1.1487588296924613
Serie_A,2015,1.0,3.814697265625e-06,1.101545492966763,0.0,1.9073486328125e-06,1.3023390282362297,0.0,1.9073486328125e-06,1.275460222492265
Serie_A,2016,0.0,0.00013100797196900614,0.9955514040192621,0.0,1.9073486328125e-06,0.9821737122092642,0.0,1.9073486328125e-06,0.8736455030166652
Serie_A,2017,36.5,0.018409788703074435,0.4354384032428819,0.0,1.9073486328125e-06,0.6449165287753198,23.0,0.001209259033203125,0.6969390084280206
Serie_A,2018,7.0,0.0003874283358554269,0.947841146710053,0.0,1.9073486328125e-06,1.2456983330841322,7.0,3.62396240234375e-05,1.022491824768145
Serie_A,2019,38.5,0.04002900538428562,0.3337048839006716,2.0,5.7220458984375e-06,0.7578978720346579,23.0,0.001209259033203125,0.6838324183948504
Serie_A,2020,43.0,0.03619636296042587,0.36762207637695465,19.0,0.0005855560302734375,0.507444577394981,19.0,0.0005855560302734375,0.40961697155887317
